,id,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
280,10,11,11,2023-11-15,@,TOR,W,128,112,44,85,.518,20,39,.513,20,21,.952,9,41,25,8,9,13,25,38,96,.396,9,33,.273,27,31,.871,26,55,28,10,8,14,19,2024,MIL
281,11,12,12,2023-11-17,@,CHO,W,130,99,49,89,.551,22,45,.489,10,13,.769,4,49,32,4,7,13,21,37,91,.407,6,26,.231,19,22,.864,9,43,18,5,2,12,14,2024,MIL
282,12,13,13,2023-11-18,,DAL,W,132,125,49,94,.521,17,45,.378,17,20,.850,5,41,29,8,3,6,16,51,103,.495,16,47,.340,7,10,.700,11,49,27,1,2,12,16,2024,MIL
283,13,14,14,2023-11-20,@,WAS,W,142,129,55,94,.585,11,29,.379,21,28,.750,16,55,33,3,6,13,13,55,99,.556,10,29,.345,9,11,.818,5,26,29,6,4,4,19,2024,MIL
284,14,15,15,2023-11-22,@,BOS,L,116,119,45,101,.446,13,34,.382,13,17,.765,13,47,23,9,2,9,19,44,84,.524,17,42,.405,14,17,.824,4,43,27,3,5,15,15,2024,MIL
285,15,16,16,2023-11-24,,WAS,W,131,128,48,92,.522,9,31,.290,26,33,.788,10,50,28,6,6,9,22,48,100,.480,15,37,.405,17,21,.810,12,46,29,3,4,8,24,2024,MIL
286,16,17,17,2023-11-26,,POR,W,108,102,35,89,.393,14,42,.333,24,32,.750,18,52,19,13,11,17,20,37,91,.407,13,32,.406,15,20,.750,11,40,21,15,4,17,26,2024,MIL
287,17,18,18,2023-11-28,@,MIA,W,131,124,47,88,.534,13,35,.371,24,27,.889,8,45,26,3,4,9,21,48,94,.511,14,30,.467,14,21,.667,8,35,32,3,5,6,22,2024,MIL
288,18,19,19,2023-11-30,@,CHI,L,113,120,44,98,.449,16,48,.333,9,13,.692,9,43,28,12,6,20,21,45,98,.459,13,37,.351,17,22,.773,14,51,32,14,4,21,18,2024,MIL
289,19,20,20,2023-12-02,,ATL,W,132,121,53,89,.596,14,33,.424,12,15,.800,8,44,33,5,6,15,19,45,101,.446,15,38,.395,16,21,.762,15,40,23,11,4,11,14,2024,MIL
292,22,21,21,2023-12-05,,NYK,W,146,122,55,91,.604,23,38,.605,13,19,.684,12,37,32,12,6,12,23,43,87,.494,7,23,.304,29,33,.879,12,36,27,8,4,16,17,2024,MIL
293,23,22,22,2023-12-07,,IND,L,119,128,43,96,.448,12,33,.364,21,28,.750,12,46,19,3,9,12,17,50,102,.490,7,33,.212,21,25,.840,15,51,30,9,8,9,21,2024,MIL
294,24,23,23,2023-12-11,,CHI,W,133,129,44,86,.512,15,37,.405,30,37,.811,6,48,34,5,4,11,21,47,114,.412,15,34,.441,20,25,.800,18,51,25,3,4,6,27,2024,MIL
295,25,24,24,2023-12-13,,IND,W,140,126,48,89,.539,7,27,.259,37,48,.771,12,43,27,8,8,15,24,45,100,.450,11,36,.306,25,32,.781,16,45,30,7,6,18,32,2024,MIL
